frame,x,y,width,height,confidence
0,120.81546783447266,542.6917572021484,110.49525451660156,530.1667785644531,0.8823201060295105
1,120.88114166259766,542.8551635742188,110.23582458496094,530.7666015625,0.8818012475967407
2,121.02743148803711,543.1152648925781,110.39984893798828,531.4241333007812,0.8773278594017029
3,121.12088012695312,542.591796875,110.7608642578125,530.81689453125,0.8806653022766113
4,122.16006088256836,542.4210052490234,111.41938018798828,530.4527893066406,0.8822762966156006
5,125.0847396850586,540.3086090087891,113.20289611816406,528.6281433105469,0.886031985282898
6,127.03184127807617,540.7117767333984,116.43170928955078,527.6583557128906,0.8862341642379761
7,129.57730102539062,540.5517730712891,120.23907470703125,528.3636169433594,0.884449303150177
8,133.34492111206055,540.7444305419922,126.2829360961914,527.8071594238281,0.8744598627090454
9,138.57278442382812,540.7121429443359,135.28445434570312,527.5434875488281,0.8751968741416931
10,145.24571228027344,540.5612945556641,145.84066772460938,527.5658874511719,0.8734549283981323
11,150.95468521118164,540.264404296875,155.81792449951172,527.3914794921875,0.8786313533782959
12,155.06368255615234,540.0263671875,162.56935119628906,526.835693359375,0.8693029284477234
13,159.74524688720703,539.8098449707031,170.5081024169922,527.8593139648438,0.8767147064208984
14,162.58105850219727,540.260498046875,176.2726058959961,527.09033203125,0.8838663697242737
15,165.0000991821289,539.9276275634766,181.23167419433594,527.8435974121094,0.887054443359375
16,166.14305877685547,540.3781890869141,184.3572540283203,526.7448425292969,0.8946335911750793
17,166.21139526367188,540.1206512451172,185.30157470703125,526.6260070800781,0.8973737955093384
18,166.18918228149414,540.7044982910156,185.44615936279297,525.3228149414062,0.9007489085197449
19,166.2231559753418,540.7824859619141,186.19779205322266,525.5690612792969,0.9046726822853088
20,165.67881393432617,541.4562377929688,184.04068756103516,526.666259765625,0.9076423048973083
21,166.28915405273438,540.9100952148438,184.96966552734375,526.995849609375,0.9114843010902405
22,166.53240966796875,541.7842102050781,185.65911865234375,524.8666381835938,0.9071477055549622
23,167.0478286743164,540.9833526611328,186.3688201904297,524.2671813964844,0.9008123874664307
24,166.5283203125,540.7553863525391,186.63433837890625,526.0490417480469,0.8928531408309937
25,166.37061309814453,540.7270050048828,186.81004333496094,527.0441589355469,0.8952383399009705
26,166.60271835327148,540.7721405029297,184.79431915283203,527.2469787597656,0.8952698707580566
27,166.4323844909668,541.1051483154297,184.1384048461914,527.0592346191406,0.8926848769187927
28,166.9835548400879,541.2694549560547,182.62120819091797,526.6106262207031,0.888380765914917
29,168.1508560180664,541.5162658691406,180.09031677246094,525.4834594726562,0.8840342164039612
30,168.90660858154297,543.4951019287109,178.3105010986328,521.9967346191406,0.8834913372993469
31,168.0821762084961,544.5062713623047,181.0944366455078,519.4951477050781,0.8818157315254211
32,167.66376876831055,545.5856781005859,184.5754165649414,518.6133117675781,0.8860556483268738
33,169.41951370239258,544.9077453613281,184.0382308959961,516.9638061523438,0.8919631242752075
34,171.58744430541992,543.6708831787109,178.86893463134766,515.1094055175781,0.8891242146492004
35,175.07999801635742,544.4835968017578,169.99246978759766,514.9611511230469,0.8903321623802185
36,179.77544403076172,544.8885650634766,159.34999084472656,513.5231628417969,0.8873034715652466
37,186.05312728881836,544.4603271484375,150.05237579345703,512.7530517578125,0.8776794075965881
38,192.5406379699707,544.3509979248047,139.53768157958984,511.9527893066406,0.8694839477539062
39,202.5250015258789,544.3426818847656,125.98210144042969,512.2739868164062,0.87724369764328
40,211.892578125,544.1304168701172,114.47576904296875,510.5880432128906,0.8923684358596802
41,217.84288024902344,545.0379638671875,110.55813598632812,510.166015625,0.8946715593338013
42,220.33450317382812,544.8348693847656,113.22613525390625,509.69158935546875,0.8961290717124939
43,223.52391052246094,545.2495422363281,116.90866088867188,510.05987548828125,0.8964348435401917
44,229.85588836669922,544.6153564453125,127.84053039550781,510.7596435546875,0.8812198042869568
45,240.04570770263672,543.8476104736328,145.85511779785156,509.7220153808594,0.8810284733772278
46,245.90113067626953,542.9922790527344,155.2111053466797,510.31060791015625,0.8858118653297424
47,252.51087951660156,542.2929992675781,165.67300415039062,506.86541748046875,0.8817189335823059
48,258.34674072265625,543.2973937988281,175.3028564453125,508.56451416015625,0.8835505843162537
49,263.0111618041992,543.0680694580078,180.94935607910156,504.4674987792969,0.8964575529098511
50,266.4859619140625,544.0826568603516,186.61907958984375,505.6581726074219,0.901831328868866
51,268.19664001464844,544.6531982421875,189.06192016601562,505.2431640625,0.9035951495170593
52,268.4697952270508,544.5534362792969,188.3730926513672,504.61627197265625,0.9012371301651001
53,268.75440979003906,544.6142120361328,187.34262084960938,503.3210144042969,0.9059047102928162
54,268.9980773925781,545.4951019287109,186.7576904296875,503.2903137207031,0.9077866077423096
55,269.08214569091797,544.9927673339844,185.39161682128906,502.16375732421875,0.9051342606544495
56,269.386474609375,544.5315399169922,185.43145751953125,503.2677307128906,0.904242992401123
57,269.5865173339844,544.4699096679688,185.6875,503.7154541015625,0.9046745300292969
58,269.77149200439453,544.0941619873047,185.42234802246094,505.0813293457031,0.9019876718521118
59,269.76475524902344,543.9176025390625,185.45254516601562,505.9542236328125,0.8986726999282837
60,270.00431060791016,543.6872863769531,184.46104431152344,506.19769287109375,0.892774760723114
61,270.1246337890625,543.6083374023438,184.3125,505.5224609375,0.8860122561454773
62,269.72557830810547,543.8160247802734,184.0846710205078,505.5893859863281,0.8781116604804993
63,270.07923889160156,543.8383331298828,184.53079223632812,505.6939392089844,0.8791548609733582
64,270.1258773803711,542.8129119873047,184.0468292236328,507.5502014160156,0.8817906975746155
65,270.3017044067383,541.2598266601562,184.69126892089844,510.2608642578125,0.8809667825698853
66,270.16495513916016,541.9413146972656,184.45848083496094,508.69195556640625,0.8795096278190613
67,269.8846664428711,542.2009124755859,184.9239044189453,509.6999816894531,0.8776822686195374
68,270.01734924316406,542.2622833251953,185.54617309570312,508.7402038574219,0.872828483581543
69,269.15274810791016,542.6213989257812,185.8287811279297,508.1239013671875,0.8749369978904724
70,269.0217056274414,542.0817565917969,186.02268981933594,508.67926025390625,0.8844569325447083
71,269.24915313720703,542.0228271484375,185.90818786621094,508.9190673828125,0.8893086314201355
72,269.3465042114258,541.0656280517578,186.1648406982422,508.5480651855469,0.8956494331359863
73,269.18737030029297,540.7962188720703,186.23939514160156,510.1095886230469,0.8963820934295654
74,269.43318939208984,540.0089569091797,186.19813537597656,511.0283508300781,0.8938924074172974
75,270.1692199707031,539.5931854248047,185.3594970703125,511.0169982910156,0.8865654468536377
76,269.7802276611328,539.283447265625,184.90682983398438,511.5894775390625,0.8872271180152893
77,274.4217224121094,539.7522125244141,174.379150390625,512.5859069824219,0.8858672380447388
78,269.33026123046875,539.3410797119141,183.00689697265625,513.2010192871094,0.8820116519927979
79,270.3227081298828,539.6827239990234,179.28152465820312,514.6107482910156,0.8865678906440735
80,272.19283294677734,540.4063110351562,171.8000030517578,515.704833984375,0.8884350061416626
81,280.24153900146484,540.6680603027344,154.14015197753906,514.1919555664062,0.8892546892166138
82,288.9450912475586,540.2824249267578,140.97962951660156,512.1216735839844,0.8984360694885254
83,294.2449417114258,540.6861114501953,134.66331481933594,513.3761901855469,0.8855761885643005
84,304.5898208618164,540.2914428710938,120.62644958496094,513.666748046875,0.8757874369621277
85,310.0773239135742,541.4316711425781,118.20826721191406,518.7931518554688,0.8816057443618774
86,311.7538299560547,540.872314453125,118.00588989257812,518.2772216796875,0.8765988945960999
87,314.63893127441406,540.3813934326172,121.71200561523438,517.2981262207031,0.8988179564476013
88,321.65140533447266,540.8839721679688,132.7189178466797,518.36083984375,0.8887016773223877
89,332.0931396484375,540.6460266113281,149.84063720703125,517.4096069335938,0.8891401886940002
90,338.3800048828125,540.7813110351562,159.662841796875,517.51025390625,0.8938701152801514
91,344.2920837402344,540.4701080322266,170.6754150390625,515.4284362792969,0.8854039907455444
92,349.1819763183594,541.4811096191406,178.983154296875,515.7293090820312,0.9052197337150574
93,354.6153869628906,541.2930145263672,185.97283935546875,515.6181945800781,0.9016424417495728
94,358.39027404785156,542.0284576416016,186.77066040039062,514.3697204589844,0.9008752703666687
95,360.1363830566406,542.5361480712891,187.01837158203125,512.6669616699219,0.9001052975654602
96,362.0618438720703,544.0014343261719,188.17562866210938,509.41229248046875,0.90035080909729
97,363.86729431152344,544.4755096435547,188.13656616210938,509.4835510253906,0.8965877890586853
98,365.0656433105469,543.8916168212891,188.13531494140625,509.5420837402344,0.8998569846153259
99,367.4407958984375,541.1251983642578,191.0216064453125,511.2188415527344,0.896335244178772
100,367.5682830810547,540.9774627685547,190.07791137695312,512.1677551269531,0.8942461013793945
