frame,x,y,width,height,confidence
0,,,,,0.0
1,,,,,0.0
2,,,,,0.0
3,,,,,0.0
4,,,,,0.0
5,,,,,0.0
6,,,,,0.0
7,482.779052734375,136.51385498046875,58.44189453125,273.0277099609375,0.3254261314868927
8,483.6589813232422,133.17105102539062,56.682037353515625,266.34210205078125,0.36539554595947266
9,,,,,0.0
10,,,,,0.0
11,,,,,0.0
12,,,,,0.0
13,,,,,0.0
14,,,,,0.0
15,479.1459045410156,181.81008529663086,65.48162841796875,289.99683380126953,0.3653823733329773
16,,,,,0.0
17,,,,,0.0
18,,,,,0.0
19,,,,,0.0
20,,,,,0.0
21,,,,,0.0
22,,,,,0.0
23,,,,,0.0
24,342.5739288330078,260.2095260620117,56.886932373046875,106.68116760253906,0.5681124329566956
25,333.9270477294922,265.6064758300781,48.741119384765625,113.10211181640625,0.2954450845718384
26,309.29383850097656,277.2660140991211,64.65194702148438,108.72450256347656,0.2841440439224243
27,,,,,0.0
28,283.7984924316406,284.6952438354492,45.95074462890625,106.37178039550781,0.27027231454849243
29,260.2388229370117,290.99072265625,64.58985900878906,108.11138916015625,0.30091172456741333
30,246.2872085571289,297.0168685913086,48.82890319824219,110.75013732910156,0.6014543771743774
31,221.8389892578125,309.46532440185547,63.05584716796875,113.80067443847656,0.544517993927002
32,207.84735870361328,317.3345489501953,49.29145812988281,112.88906860351562,0.580487847328186
33,186.6310043334961,319.7032775878906,57.84364318847656,106.94268798828125,0.47562265396118164
34,169.5089111328125,328.4064178466797,69.00137329101562,109.91043090820312,0.5125678181648254
35,146.33076095581055,330.7752380371094,53.257911682128906,105.73797607421875,0.34197166562080383
36,127.18484878540039,339.9522247314453,57.321189880371094,109.02029418945312,0.6424005031585693
37,,,,,0.0
38,,,,,0.0
39,,,,,0.0
40,37.94261169433594,401.1932373046875,73.94168090820312,221.613525390625,0.2790845036506653
41,,,,,0.0
42,,,,,0.0
43,,,,,0.0
44,,,,,0.0
45,,,,,0.0
46,,,,,0.0
47,419.94757080078125,433.67616271972656,62.6474609375,151.66934204101562,0.3912802040576935
48,,,,,0.0
49,396.4316101074219,385.5498504638672,70.381591796875,134.93154907226562,0.2744120955467224
50,,,,,0.0
51,370.6160583496094,353.09742736816406,63.01348876953125,141.03060913085938,0.4282294809818268
52,351.2770690917969,351.4968719482422,51.91058349609375,117.76181030273438,0.41984471678733826
53,358.3006896972656,326.9667205810547,50.34002685546875,144.51174926757812,0.36068299412727356
54,,,,,0.0
55,332.4033660888672,293.9104995727539,55.095611572265625,142.2332000732422,0.43051302433013916
56,321.2955627441406,280.0080108642578,53.33544921875,143.71493530273438,0.471285879611969
57,308.5326843261719,274.7628860473633,51.392333984375,114.58738708496094,0.48240622878074646
58,,,,,0.0
59,,,,,0.0
60,290.8338623046875,227.29834747314453,52.39984130859375,128.48106384277344,0.5900315642356873
61,284.2947235107422,221.19140625,44.954376220703125,133.31298828125,0.7584831714630127
62,271.4030227661133,203.95294189453125,49.84861755371094,120.7535400390625,0.7549415230751038
63,269.7199249267578,203.2439956665039,47.920562744140625,128.7131805419922,0.7828382253646851
64,262.3671417236328,193.14842224121094,51.371978759765625,129.27389526367188,0.7758796811103821
65,258.779541015625,177.1267547607422,38.16522216796875,116.5556640625,0.7619320154190063
66,249.7940673828125,174.7303237915039,45.304443359375,122.22593688964844,0.8325328230857849
67,239.53744506835938,167.2962646484375,49.01556396484375,123.88833618164062,0.8452548384666443
68,236.4810333251953,155.48537063598633,43.325408935546875,115.50078582763672,0.8649161458015442
69,237.0452651977539,152.3265838623047,37.62217712402344,116.306396484375,0.883893609046936
70,236.72296905517578,150.87318420410156,38.25273132324219,120.79885864257812,0.8666480779647827
71,236.436279296875,149.2086181640625,38.391998291015625,124.71981811523438,0.8613855838775635
72,235.53705596923828,147.93511199951172,37.30570983886719,126.54853820800781,0.8730021715164185
73,235.34033203125,139.5634307861328,36.94525146484375,117.49359130859375,0.8639693856239319
74,234.3431625366211,134.06622695922852,36.33876037597656,111.96111297607422,0.8285605311393738
75,233.169189453125,126.34148406982422,37.827545166015625,105.60469055175781,0.8399863839149475
76,231.39911651611328,124.19834899902344,39.35478210449219,115.2222900390625,0.8467944860458374
77,233.5885238647461,117.37672424316406,41.75038146972656,106.0079345703125,0.8579036593437195
78,235.1294708251953,116.43004417419434,40.0986328125,116.03108596801758,0.7008602619171143
79,235.27690887451172,106.33235359191895,39.67167663574219,108.00097274780273,0.6972121000289917
80,231.7489242553711,99.21177673339844,40.48133850097656,107.46456909179688,0.32339873909950256
81,227.81377410888672,96.91089820861816,38.53974914550781,109.32242965698242,0.35355710983276367
82,227.66317749023438,83.91220664978027,36.6494140625,100.09120559692383,0.8454224467277527
83,228.77816772460938,82.78451728820801,35.99365234375,99.91515731811523,0.7622023820877075
84,,,,,0.0
85,,,,,0.0
86,,,,,0.0
87,,,,,0.0
88,,,,,0.0
89,,,,,0.0
90,,,,,0.0
91,,,,,0.0
92,,,,,0.0
93,,,,,0.0
94,,,,,0.0
95,,,,,0.0
96,,,,,0.0
97,,,,,0.0
98,,,,,0.0
99,,,,,0.0
100,,,,,0.0
101,,,,,0.0
102,,,,,0.0
103,,,,,0.0
104,,,,,0.0
105,,,,,0.0
106,251.6797103881836,130.02224349975586,6.6109771728515625,16.569923400878906,0.2921115756034851
107,,,,,0.0
108,,,,,0.0
109,,,,,0.0
110,,,,,0.0
111,,,,,0.0
112,,,,,0.0
113,237.6827850341797,105.74908447265625,12.111175537109375,23.705841064453125,0.32356810569763184
114,245.4897232055664,114.60346603393555,11.655654907226562,23.83710479736328,0.47035345435142517
115,404.7074737548828,323.0440368652344,47.382904052734375,132.96270751953125,0.7871481776237488
116,273.70664978027344,127.17730712890625,10.188873291015625,24.265960693359375,0.5775030255317688
117,388.40370178222656,286.6968765258789,42.857025146484375,129.99693298339844,0.6199265718460083
118,380.1773223876953,269.8625183105469,37.691253662109375,126.97943115234375,0.5173456072807312
119,369.1202850341797,254.10945892333984,36.567108154296875,119.44013977050781,0.703681468963623
120,350.8869171142578,245.5734100341797,52.891815185546875,123.22219848632812,0.7842146158218384
121,423.8354034423828,440.8269348144531,50.713165283203125,140.98516845703125,0.6490041017532349
122,325.894775390625,220.0633316040039,44.56982421875,123.49589538574219,0.6669996976852417
123,399.2292938232422,399.309326171875,57.723419189453125,155.9102783203125,0.6721336245536804
124,307.2528839111328,192.00210571289062,30.019805908203125,111.3447265625,0.7869084477424622
125,284.39141845703125,187.039794921875,47.72412109375,112.05355834960938,0.8595278263092041
126,282.6288146972656,173.4542465209961,32.250732421875,103.62992858886719,0.8491464257240295
127,361.864990234375,308.8947219848633,53.80615234375,137.5217742919922,0.8140669465065002
128,353.12843322753906,294.4156723022461,52.813140869140625,144.3595733642578,0.8578965663909912
